chain,arm,n_epitopes,macro01,min01,max01,macro_auc,n_at_competitor,n_at_floor
TRA,internal,20,0.4991168881010551,0.47368421052631576,0.5384457236842105,0.5126532410911528,0,1
TRA,internal_seen,20,0.6108830247118473,0.49695612338389494,0.8676201372997712,0.6955010582923209,8,0
TRA,matched_A0201,10,0.503438596491228,0.47368421052631576,0.5915789473684211,0.4997688888888889,0,1
TRA,transfer,20,0.5033216374269005,0.47368421052631576,0.560233918128655,0.5152111111111111,0,2
TRB,internal,20,0.4958141086026866,0.47368421052631576,0.5241256925207757,0.4855622199005415,0,1
TRB,internal_seen,20,0.6018071578530355,0.5030828208609536,1.0,0.6826011925788202,7,0
TRB,matched_A0201,10,0.5071929824561403,0.48140350877192983,0.5587134502923977,0.5207333333333334,0,0
TRB,transfer,20,0.50528442317916,0.48023391812865496,0.5899415204678362,0.5235777777777778,0,0
