curve,prevalence,top_k,exp_tp,exp_fp,precision,recall,enrichment
best,1e-05,100,0.031543539271107715,99.96845646072893,0.000315435392711077,0.0031543539271107718,31.543539271107697
best,1e-05,1000,0.1775572769337163,999.8224427230663,0.0001775572769337163,0.01775572769337163,17.75572769337163
best,1e-05,10000,0.9035476232778034,9999.096452376722,9.035476232778034e-05,0.09035476232778034,9.035476232778032
best,1e-06,100,0.0031550188056449183,99.99684500369332,3.1550188049350717e-05,0.0031550188056449183,31.55018804935072
best,1e-06,1000,0.017757687608893808,999.9822423921834,1.7757687607476884e-05,0.017757687608893808,17.757687607476885
best,1e-06,10000,0.09035918188795555,9999.909641053155,9.035918188583173e-06,0.09035918188795555,9.035918188583175
strong,1e-05,100,1.5251953355746322,98.47480466442693,0.015251953355746084,0.15251953355746323,1525.1953355746082
strong,1e-05,1000,3.4677088120438953,996.5322912425052,0.0034677088118547352,0.34677088120438954,346.7708811854735
strong,1e-05,10000,6.445403183812772,9993.55459681707,0.0006445403183812203,0.6445403183812772,64.45403183812203
strong,1e-06,100,0.1533440172622466,99.84665598289835,0.0015334401726200034,0.1533440172622466,1533.4401726200035
strong,1e-06,1000,0.3471126744133495,999.6528873255921,0.0003471126744133476,0.3471126744133495,347.11267441334763
strong,1e-06,10000,0.6446201483631054,9999.355379851637,6.446201483631055e-05,0.6446201483631054,64.46201483631054
germline,1e-05,100,0.024594195769798325,99.9754058042302,0.00024594195769798326,0.0024594195769798324,24.594195769798326
germline,1e-05,1000,0.24594195769798327,999.7540580423021,0.00024594195769798326,0.02459419576979833,24.594195769798326
germline,1e-05,10000,1.6798578113750908,9998.320142188626,0.00016798578113750906,0.1679857811375091,16.798578113750903
germline,1e-06,100,0.0024599419453700893,99.99754005805464,2.4599419453700888e-05,0.0024599419453700893,24.59941945370089
germline,1e-06,1000,0.02459941945370089,999.9754005805463,2.459941945370089e-05,0.02459941945370089,24.599419453700893
germline,1e-06,10000,0.167998578011376,9999.832001421988,1.67998578011376e-05,0.167998578011376,16.7998578011376
