cohort,label,n_ep,gene_mean,gene_lo,gene_hi,geneA_mean,geneA_lo,geneA_hi,geneB_mean,geneB_lo,geneB_hi,mi_mean,mi_lo,mi_hi
tcrvdb_true,TCRvdb pos,2,0.40888392806364077,0.23159439722995248,0.5861734588973291,0.3956686178919908,0.24241215607905797,0.5489250797049237,0.4220992382352907,0.22077663838084713,0.6234218380897343,1.0382590805579641,0.18646228480157756,1.8900558763143507
vdjdb_hq,VDJdb HQ,38,0.5701934122103455,0.4304706433064559,0.709916181114235,0.6818672177415666,0.5094706411226417,0.8542637943604914,0.45851960667912467,0.3344097479778447,0.5826294653804047,0.5059240592887915,0.3661885045904734,0.6456596139871096
immrep22_true,IMMREP22 pos,7,0.39132525555674197,0.330253311283756,0.4523971998297279,0.3994106864776134,0.3273073697163986,0.4715140032388282,0.3832398246358704,0.31355769489182583,0.452921954379915,0.27508334078874863,0.055496100741102866,0.49467058083639437
vdjdb_lq,VDJdb LQ,25,0.2916545938408451,0.18132762612217934,0.4019815615595108,0.3671551499115811,0.22717861446616258,0.5071316853569996,0.21615403777010908,0.11522077911993883,0.31708729642027933,0.17198751521218333,0.05005749900201692,0.2939175314223498
tcrvdb_false,TCRvdb neg,2,0.15435650112655802,-0.07836517381891617,0.3870781760720322,0.10726779130608743,-0.05073922853164417,0.265274811143819,0.20144521094702855,-0.10599111910618819,0.5088815410002453,0.3342893419377706,-0.12388134714290538,0.7924600310184466
immrep25_pos,IMMREP25 pos,20,0.20343268770892645,0.16099708084693864,0.24586829457091425,0.23540844661046428,0.1666390706479636,0.304177822572965,0.17145692880738864,0.13607758367359507,0.2068362739411822,0.04682417328287105,0.019295878322340324,0.07435246824340178
pairseq_mock,pairSEQ mock,20,0.02454080657458301,-0.052341771903928046,0.10142338505309406,0.005901041279285378,-0.04057150438790909,0.05237358694647984,0.043180571869880634,-0.06750313474552488,0.15386427848528617,-0.001123859318338538,-0.022274249126666933,0.02002653048998986
airr_control,AIRR rand,20,0.0037575528268912724,-0.008938566231422806,0.01645367188520535,-0.01086913527146241,-0.031533932960286594,0.009795662417361774,0.018384240925244932,-0.002516585003687063,0.03928506685417693,-0.0002721347520444173,-0.0005168681679440744,-2.740133614476017e-05
olga_random,OLGA rand,20,0.0022563964150550883,-0.010988854438790354,0.01550164726890053,-0.004730945549891394,-0.0221239078278055,0.012662016728022713,0.009243738380001589,-0.00848242234702166,0.02696989910702484,-0.0002041010640334129,-0.00042256933574854634,1.4367207681720555e-05
