score,n_cohorts,n_records,within_macro,within_sd,within_lo,within_hi,within_weighted,cross,w_diag,pooled,pooled_reconstructed,identity_err,gap_naive
iptm,26,2192,0.6148043181721723,0.2117079493233515,0.04791666666666667,0.9569230769230769,0.7319247995425897,0.6446918200495197,0.06306756472502328,0.6501933916298557,0.6501933916298557,0.0,-0.035389073457683384
plddt,26,2192,0.6100641733063016,0.19859126861901769,0.04375,0.9092307692307692,0.7322651347046573,0.6223721178288207,0.06306756472502328,0.6293028027834657,0.6293028027834657,0.0,-0.01923862947716415
