curve,panel,p_top1,p_top5,p_top10,chance_top1
best,20,0.22509216178463443,0.6060054617821888,0.8289879062491754,0.05
best,100,0.08067537126320057,0.24867649927185054,0.3790330259300294,0.01
best,1000,0.015615208404939011,0.05484162975198922,0.08925130465375788,0.001
strong,20,0.7753194979493657,0.9712539056120023,0.9952623279058163,0.05
strong,100,0.5695636679723578,0.8393640559033104,0.91562293319227,0.01
strong,1000,0.274243525114221,0.5353946793993234,0.6375573006333886,0.001
germline,20,0.30033629964346625,0.6185062914513174,0.8083012835065623,0.05
germline,100,0.13833820632866714,0.3355394301482032,0.4515854053303727,0.01
germline,1000,0.01011462273064322,0.11579143651818236,0.16547076905813374,0.001
