dataset,rep,n_rows,arm,k,n_ep,macro01,max01,median01,n_clear,ce,ce_chance,G,dAIC,nats,n_rec,evr_pep,evr_sceptr,evr_esm
vdjdb,sceptr,15780,seen,161,10,0.6450887577887771,0.8483992141212113,0.6235356247762263,4,0.28135783150566684,0.32508297339144826,0.1345045587273186,-1057.9654779152606,689.9827389576308,1778,0.6890342235565186,0.8979204297065735,0.9332060217857361
vdjdb,sceptr,15780,unseen,161,10,0.5094264530177389,0.6239169351951307,0.49255997135696383,0,1.1251819038468551,0.32508297339144826,-2.4612145081248804,25573.122245172643,-12625.561122586321,1778,0.6890342235565186,0.8979204297065735,0.9332060217857361
immrep25,sceptr,5000,seen,161,10,0.5351111111111111,0.6025730994152046,0.5295906432748538,0,0.32509951890804173,0.32508297339144826,-5.089628786425493e-05,322.1654551659349,-0.08272758296734573,500,0.6890342235565186,0.8979204297065735,0.9332060217857361
immrep25,sceptr,5000,unseen,161,10,0.5051695906432748,0.5305263157894737,0.5032748538011695,0,0.8185062326476422,0.32508297339144826,-1.517837904915552,5256.232592561939,-2467.11629628097,500,0.6890342235565186,0.8979204297065735,0.9332060217857361
vdjdb,esm,15780,seen,161,10,0.6199068054595334,0.8290406050190126,0.6039097744360902,4,0.293600129760334,0.32508297339144826,0.09684556315782256,-671.5985449979653,496.79927249898293,1778,0.6890342235565186,0.8979204297065735,0.9332060217857361
vdjdb,esm,15780,unseen,161,10,0.48458430938496494,0.4921016827783745,0.4859577515216613,0,1.4532951369673675,0.32508297339144826,-3.4705360044107385,35928.375882456014,-17803.187941228007,1778,0.6890342235565186,0.8979204297065735,0.9332060217857361
immrep25,esm,5000,seen,161,10,0.5225730994152047,0.5808187134502923,0.5181286549707602,0,0.32666698860689297,0.32508297339144826,-0.004872648969951765,337.8401521544474,-7.920076077223559,500,0.6890342235565186,0.8979204297065735,0.9332060217857361
immrep25,esm,5000,unseen,161,10,0.5026666666666666,0.5237426900584795,0.49953216374269005,0,0.47946204765707745,0.32508297339144826,-0.4748912951516959,1865.790742656292,-771.895371328146,500,0.6890342235565186,0.8979204297065735,0.9332060217857361
