chain,d,comparator,cells,ratio_min,ratio_max,ratio_median,n_immrep_higher,immrep_below_everywhere
A,1,vdjdb_hq,12,0.3070261352861791,0.6213174325747745,0.3939982061616885,0,True
A,1,tcrvdb_true,12,0.006585771198575676,0.030288733104036986,0.01815316232778808,0,True
A,1,vdjdb_lq,12,0.5276238263405458,2.1229363811058883,0.9464563956715754,5,False
A,1,immrep22_true,12,0.3548936579220035,1.1937408390996187,0.6737253644947085,3,False
A,2,vdjdb_hq,12,0.3617181193932584,0.6154499598670756,0.47224946748104535,0,True
A,2,tcrvdb_true,12,0.012556384210495599,0.018172621251293812,0.015391707763760757,0,True
A,2,vdjdb_lq,12,0.7117962062618972,2.0116261806882707,1.1503746278492017,10,False
A,2,immrep22_true,12,0.30518728662339933,1.4742387072929817,0.8409761220852457,4,False
A,3,vdjdb_hq,12,0.4401878651619166,0.5417201152440232,0.4764996799078881,0,True
A,3,tcrvdb_true,12,0.02596753377726002,0.028872313475935992,0.026881929922521655,0,True
A,3,vdjdb_lq,12,0.8276453981574542,1.491182437252205,1.0795916456929229,9,False
A,3,immrep22_true,12,0.3476408974184955,1.36492677464979,0.7746665531409219,4,False
B,1,vdjdb_hq,12,0.06548330991928976,0.29878179004525557,0.16952284872852885,0,True
B,1,tcrvdb_true,12,0.0032913052443600314,0.025160614586416587,0.01594532446872282,0,True
B,1,vdjdb_lq,12,0.2529984948378561,1.2887070561354437,0.802612065270381,3,False
B,1,immrep22_true,12,0.10031355980700186,1.351285389942829,0.7679634756913101,3,False
B,2,vdjdb_hq,12,0.10872591102391736,0.3331903414749267,0.2174305878299087,0,True
B,2,tcrvdb_true,12,0.005339153581974918,0.01458813296788015,0.011410677547458158,0,True
B,2,vdjdb_lq,12,0.33707779941926364,1.2401802611873547,0.838033889411494,3,False
B,2,immrep22_true,12,0.13021018369820037,0.8753319028893807,0.5019052375922938,0,True
B,3,vdjdb_hq,12,0.16891429097101396,0.40639874884325367,0.291291835986885,0,True
B,3,tcrvdb_true,12,0.0029988458691400342,0.008427039062579949,0.006534663844342668,0,True
B,3,vdjdb_lq,12,0.3885592941192562,1.1218825085822253,0.8546280128754341,2,False
B,3,immrep22_true,12,0.1345786364656852,0.6706553287662059,0.39254685332885664,0,True
