cohort,label,sn,sn_lo,sn_hi,n_ep,n,ari,ami,ari_lo,ari_hi,ami_lo,ami_hi,mi_bits,mi_U,mi_p,perm_ari97,perm_ami97,sn_cdr3,hyd_mean,dropped_iptm
vdjdb_binder,VDJdb binder (covered),3.9252161601710496,3.1519764895611493,4.88814620131038,5,127,0.6120030829518335,0.6313569633019482,0.4394038730921134,0.758012353230221,0.4950243949054587,0.7581124082600449,1.394515716842119,0.6051518358862821,0.0,0.024646269652617372,0.031471194173818155,3.451570426745127,0.5039370078740157,15
vdjdb_binder_unc,VDJdb binder (uncovered),6.308178597146158,4.552106395726466,8.741693131524954,14,341,0.3039446144409073,0.41301614559604616,0.2290415132128646,0.37974370978046446,0.3472029789013573,0.4780718805436648,1.3370045548488496,0.35322287167292993,0.0,0.007608759254592273,0.021785087539767944,5.615939814229872,0.7360703812316716,40
immrep22rest,IMMREP22 rest,1.4297229445126318,1.1098143193028673,1.8418465706496574,2,55,0.18703663725374994,0.2387392394455792,0.0299330240179283,0.3850313258909186,0.05273503442297364,0.4310033216398306,0.2927119709603976,0.29334184142389774,0.0,0.055106880543553984,0.05941907775411574,1.3704081710980383,0.7454545454545455,83
immrep25,IMMREP25 pos,4.2208921644723185,3.3975693088749592,5.243728396523344,20,899,0.05357260425058626,0.14908944752683811,0.034266940511921445,0.07431650122252682,0.11621868693967896,0.17917106938134492,0.5247757307433468,0.12153215339386966,0.0,0.0027888457192951238,0.008594091301628302,2.9778501863591,0.6718576195773082,101
negatives,mismatched (floor),1.8028786232613385,1.4349782010143943,2.265101538068657,4,1101,0.043332443316757806,0.0847709581131068,0.028404259464592414,0.06062396356544425,0.06132904839432909,0.11062405923003138,0.227998899340682,0.11427726153000688,0.0,0.0024441922158705926,0.004052790153089159,1.659339888871096,0.6766575840145322,178
