n_nodes,n_edges,assortativity,modularity,within_frac,cohort,label,n_epitopes,n_full
261,150,1.0,0.4871999999999999,1.0,tcrvdb_true,TCRvdb pos,2,261
3868,583,0.6686234823901622,0.6541135488350609,0.6758147512864494,vdjdb_hq,VDJdb HQ,83,52939
415,105,0.7973950795947904,0.29986394557823126,0.9238095238095239,immrep22_true,IMMREP22 pos,7,415
2281,186,0.5697100555212831,0.5338767487570818,0.5967741935483871,vdjdb_lq,VDJdb LQ,50,11399
287,28,1.0,0.4591836734693878,1.0,tcrvdb_false,TCRvdb neg,2,287
993,50,0.7603068072866731,0.6344,0.8,immrep25_pos,IMMREP25 pos,20,993
1000,23,-0.04008221993833506,-0.036862003780718335,0.043478260869565216,pairseq_mock,pairSEQ mock,20,1000
1000,5,-0.11111111111111116,-0.1,0.0,olga_random,OLGA rand,20,1000
