hla,n_pools,n_records,pool_min,pool_max,block,equal_pool_analytic
HLA-A*02:01,8,2863,351,366,0.5394736842105263,0.5263157894736842
HLA-B*40:01,10,4481,435,457,0.5263157894736843,0.5263157894736842
