cohort,chain,min_n,pseudo,d,n_ep,n_finite,n_pinned,sn,lo,hi
tcrvdb_true,B,20,0.0,2,2,2,0,483.6113361503776,406.5425798689076,575.2901074435296
tcrvdb_true,B,20,0.0,3,2,2,0,479.54589418744104,182.10237424985047,1262.829579127364
tcrvdb_true,B,20,0.1,1,2,2,0,741.3507941588784,540.548588049035,1016.746712786055
tcrvdb_true,B,20,0.1,2,2,2,0,405.89995912320643,289.27379133113266,569.5461592219579
tcrvdb_true,B,20,0.1,3,2,2,0,437.28645124704735,151.82028378896214,1259.5118100954217
tcrvdb_true,B,20,0.5,1,2,2,0,149.08051515875582,108.88579933539698,204.11293424536618
tcrvdb_true,B,20,0.5,2,2,2,0,252.96206821451617,127.99613296453701,499.93547830929185
tcrvdb_true,B,20,0.5,3,2,2,0,326.890594887498,89.01654989600739,1200.4224062911603
tcrvdb_true,B,20,1.0,1,2,2,0,75.04665215717488,54.92811291601425,102.53401584378832
tcrvdb_true,B,20,1.0,2,2,2,0,174.37064589462275,73.50920610839461,413.62332365382076
tcrvdb_true,B,20,1.0,3,2,2,0,251.01343051743487,57.48694095356243,1096.0357475105232
tcrvdb_true,B,30,0.0,1,2,0,0,,,
tcrvdb_true,B,30,0.0,2,2,2,0,483.6113361503776,406.5425798689076,575.2901074435296
tcrvdb_true,B,30,0.0,3,2,2,0,479.54589418744104,182.10237424985047,1262.829579127364
tcrvdb_true,B,30,0.1,1,2,2,0,741.3507941588784,540.548588049035,1016.746712786055
tcrvdb_true,B,30,0.1,2,2,2,0,405.89995912320643,289.27379133113266,569.5461592219579
tcrvdb_true,B,30,0.1,3,2,2,0,437.28645124704735,151.82028378896214,1259.5118100954217
tcrvdb_true,B,30,0.5,1,2,2,0,149.08051515875582,108.88579933539698,204.11293424536618
tcrvdb_true,B,30,0.5,2,2,2,0,252.96206821451617,127.99613296453701,499.93547830929185
tcrvdb_true,B,30,0.5,3,2,2,0,326.890594887498,89.01654989600739,1200.4224062911603
tcrvdb_true,B,30,1.0,1,2,2,0,75.04665215717488,54.92811291601425,102.53401584378832
tcrvdb_true,B,30,1.0,2,2,2,0,174.37064589462275,73.50920610839461,413.62332365382076
tcrvdb_true,B,30,1.0,3,2,2,0,251.01343051743487,57.48694095356243,1096.0357475105232
tcrvdb_true,B,50,0.0,1,2,0,0,,,
tcrvdb_true,B,50,0.0,2,2,2,0,483.6113361503776,406.5425798689076,575.2901074435296
tcrvdb_true,B,50,0.0,3,2,2,0,479.54589418744104,182.10237424985047,1262.829579127364
tcrvdb_true,B,50,0.1,1,2,2,0,741.3507941588784,540.548588049035,1016.746712786055
tcrvdb_true,B,50,0.1,2,2,2,0,405.89995912320643,289.27379133113266,569.5461592219579
