arm,chain,n,n_ep,m1,P_self,rate,rate_upper97,sn,lo,hi,p_vs_public
all,A,1000,20.0,42.0,3963.0,0.010598031794095382,0.01432546020148641,2.9832555922332804,2.0239750611912095,4.397195449312089,
all,B,1000,20.0,40.0,4142.0,0.009657170449058426,0.013150325196519572,2.3771371861707125,1.4797470620871689,3.818748045970263,
public_removed,A,316,18.0,4.0,420.0,0.009523809523809525,0.02438473494143737,1.2765180070092417,1.0273854668030407,1.5860631426775245,
public_removed,B,316,18.0,0.0,420.0,0.0,0.008783046319318895,1.0,1.0,1.0,
random_removed,A,316,,4.0,,,,,1.0,9.0,0.5704295704295704
random_removed,B,316,,4.0,,,,,0.0,10.0,0.026973026973026972
matched_public,A,316,,8.0,,,,,6.0,11.0,0.004975124378109453
matched_public,B,316,,3.0,,,,,1.0,3.0250000000000057,0.004975124378109453
