subset,n,n_ep,mi_excess,lo,hi
all,1000,20,0.04600697661410913,0.018288326999773417,0.07372562622844483
non_public,316,18,-0.0019203238184395152,-0.0036457669436553907,-0.00019488069322363966
pairseq_mock,1000,20,0.0018046817515861013,-0.020579254963216047,0.02418861846638825
