cohort,n_struct,n_contacts,n_pairs,R,R_p,R_lo,R_hi,R_frac_le0,mean_score,score_t,score_p
immrep25,960,20385,376,0.13400739444762502,0.009279213598508662,0.039326786850600856,0.1707896566877033,0.003,-0.04564958405804473,-17.72143168808344,9.56144933082391e-70
vdjdb_binder,493,10340,348,0.10174751553735162,0.05793759098032069,0.04637391470032361,0.17548659155536928,0.001,-0.032504948706742524,-9.955802554714332,3.027498647629725e-23
