# x cohort sn lo hi
0 tcrvdb_true 1.4375118743181534 1.1084341932313482 1.8642878408338592
1 vdjdb_hq 2.985850438812901 2.497602267252922 3.5695446628357725
2 immrep22_true 1.7276493506848651 1.3725006042004395 2.1746965136387955
3 vdjdb_lq 1.7527877304846373 1.4228091410689525 2.159295115175674
4 tcrvdb_false 1.1251823439406765 0.9792506947151745 1.292861280516196
5 immrep25_pos 1.4731078647140563 1.320877375254887 1.6428828457022036
6 pairseq_mock 1.094083655096041 0.9975569169150965 1.1999506234191077
7 mlr_prolif 1.0564587228684281 0.9739965326015169 1.1459024706625038
8 airr_control 1.0821593327550583 1.0094334655052242 1.1601248239602893
9 olga_random 0.93798450580567 0.8709477650987542 1.0101810560725732
