# x cohort gene cluster ksg held
0 tcrvdb_true 0.4433 0.5332 0.6483 0.5882
1 vdjdb_hq 0.1037 0.0350 0.1265 0.0423
2 immrep22_true 0.1627 0.0842 0.2340 0.1164
3 vdjdb_lq 0.0684 0.0213 0.0920 0.0339
4 tcrvdb_false 0.1141 -0.0064 0.0381 0.0075
5 immrep25_pos 0.0606 0.0319 0.0848 0.0324
6 pairseq_mock -0.0005 -0.0044 -0.0028 0.0004
8 airr_control -0.0016 0.0014 -0.0028 0.0045
9 olga_random 0.0043 0.0019 -0.0028 -0.0019
