# x cohort gene cluster ksg held
0 tcrvdb_true 0.5006 0.2292 0.6499 0.3769
1 vdjdb_hq 0.0964 0.0274 0.1048 0.0310
2 immrep22_true 0.2116 0.0721 0.2319 0.1268
3 vdjdb_lq 0.0612 0.0224 0.0787 0.0241
4 tcrvdb_false 0.1766 0.0610 0.2575 0.0863
5 immrep25_pos 0.0790 0.0086 0.0645 0.0237
6 pairseq_mock 0.0189 0.0014 0.0164 0.0125
7 mlr_prolif 0.0000 -0.0059 -0.0074 -0.0107
8 airr_control -0.0005 0.0011 0.0039 0.0008
9 olga_random -0.0059 -0.0026 0.0007 -0.0016
