# x cohort heldout_auc heldout_sd gap I_train I_heldout I_heldout_sd
0 tcrvdb_true 0.9105555555555555 0.021619428562245205 0.0894444444444444 0.9924301674591545 0.37691019751885263 0.060113435907541604
1 vdjdb_hq 0.6656854067519725 0.0015960615481635113 0.33065109534810333 4.021591329085194 0.19692945127698128 0.009896983033383634
2 immrep22_true 0.7336359539100932 0.010636969692586686 0.26633438058772274 2.6714315857053954 0.35316663026752637 0.02703414604220935
3 vdjdb_lq 0.628187834669251 0.0022540529208642415 0.3696062480411296 4.089613307508006 0.13544865720232252 0.009707476408233344
4 tcrvdb_false 0.7357037037037036 0.02466698642880277 0.26429629629629636 0.9785340538675854 0.08520802650083295 0.01419818941228056
5 immrep25_pos 0.633542331643398 0.003305065180137381 0.3663943522108826 3.893529916586852 0.10251873959412472 0.019168640893493013
6 pairseq_mock 0.5576884210526316 0.006340528740502761 0.4421967105263157 3.879194432072473 0.05397894921047038 0.020225076485229997
7 mlr_prolif 0.5070159932659932 0.008743786262588035 0.47966316813973064 2.2318346613088034 -0.03847545382957276 0.037726048625420804
8 airr_control 0.5174642105263156 0.0053418296532481094 0.4821721052631579 3.863531356129697 0.0036068493946390576 0.013474442508173827
9 olga_random 0.4893368421052632 0.006393296350643165 0.5102799342105262 3.8437584436153562 -0.006871889589992959 0.019057891626352477
