# x subset chain sn lo hi
0 all A 2.9832555922332804 2.0239750611912095 4.397195449312089
1 all B 2.3771371861707125 1.4797470620871689 3.818748045970263
2 non_public A 1.2765180070092417 1.0273854668030407 1.5860631426775245
3 non_public B 1.0 1.0 1.0
