# x cohort sn lo hi
0 tcrvdb_true 1.6679005258446051 1.6034296710079055 1.734963631029748
1 vdjdb_hq 2.666212201090274 2.074018688018428 3.4274944301656567
2 immrep22_true 1.6953550070608603 1.3753881741701586 2.0897581162499796
3 vdjdb_lq 1.6891084152679405 1.3956417140581776 2.044283435920605
4 tcrvdb_false 1.0217936147670565 0.8672309741982179 1.2039032532757448
5 immrep25_pos 1.5178757903939941 1.2528961631437585 1.8388969356272467
6 pairseq_mock 0.9935647731485013 0.9188099646346658 1.0744016678510322
8 airr_control 0.9595599627712911 0.8784644316322809 1.048141835911079
9 olga_random 0.93851409260095 0.8527554274645889 1.032897210199416
