# x cohort ari ari_lo ari_hi ami ami_lo ami_hi ari_pct ari_pct_lo ari_pct_hi
0 tcrvdb_true 0.08810858255477509 0.0031848216540883295 0.18229753307731572 0.14094486104791198 0.02895301574561998 0.25536441689869893 8.810858255477509 0.31848216540883295 18.22975330773157
1 vdjdb_hq 0.005404387634896263 0.0034363294855175317 0.00775490148625442 0.03740237817670563 0.02717318166981439 0.047771575233929435 2.7322181931975553 1.7372554621227523 3.9205335291619567
2 immrep22_true 0.058635943467506835 0.025462109529590056 0.0982725064668174 0.07723498002409256 0.030512683272886122 0.12885787318749475 6.4499537814257515 2.8008320482549065 10.809975711349916
3 vdjdb_lq 0.007233262390181635 0.004135750808823845 0.010729071110261777 0.030373026252247207 0.01871952625020904 0.042580523561631584 2.893304956072654 1.6543003235295382 4.291628444104711
4 tcrvdb_false 0.04037324864958145 -0.008565179078818576 0.11522504997407698 0.03757547876682289 -0.016943191127605964 0.12432148185338925 4.037324864958145 -0.8565179078818576 11.522504997407697
5 immrep25_pos 0.00326495467867354 -0.0028833689642606248 0.010824168707033323 0.01066102140367509 -0.006475417854416708 0.030113732993439914 0.6063487260393717 -0.5354828076484017 2.0102027598776173
6 pairseq_mock 0.000857196521626003 -0.00421530294994993 0.0066069144905094804 0.0017518950051289902 -0.013013669345026959 0.018186777882245826 0.144651913024388 -0.7113323728040507 1.1149168202734747
7 mlr_prolif -0.0028595315352987287 -0.009669425979058736 0.004969252935865717 -0.006575519917336114 -0.022299059285826362 0.012470247008537255 -0.367654054538408 -1.243211911593266 0.6389039488970207
8 airr_control 0.00010420543659952393 -0.0047527264942780825 0.005743468670565844 0.0015415581556128238 -0.013051251041052269 0.017430412722906765 0.019352438225625875 -0.8826492060802154 1.066644181676514
9 olga_random -0.001380662732991922 -0.006156947234512241 0.004236327428525299 -0.0033582618752650856 -0.01704168778103126 0.011717195598628709 -0.25640879326992844 -1.1434330578379877 0.7867465224404128
